,date,bx,team,home_away,opponent,win_loss,runs,runs_allowed,innings,record,rank,games_behind_raw,win_pitcher,loss_pitcher,save_pitcher,game_time,day_night_raw,attendance,streak_raw,schedule_comment,IfWeekend,home,night_game,win_loss_new,win_total,loss_total,streak,game_duration,games_behind,actual_date,rain
90,331776000,boxscore,ATL,,MIA,W,4,3,9,54//37,1,up 6.0,Keuchel,Richards,Jackson,3:02,D,0.5782561731319524,+,,1,1,0,W,54,37,1,182,6.0,"Sunday, Jul 7 1980",0.0
91,332208000,boxscore,ATL,@,SDP,W,5,3,9,55//37,1,up 6.0,Keuchel,Lamet,Jackson,3:03,N,0.6574314464932063,++,,1,0,1,W,55,37,2,183,6.0,"Friday, Jul 12 1980",0.0
92,332294400,boxscore,ATL,@,SDP,W,7,5,10,56//37,1,up 6.0,Newcomb,Perdomo,Jackson,4:05,N,0.8176770452348917,+++,,1,0,1,W,56,37,3,245,6.0,"Saturday, Jul 13 1980",0.0
93,332380800,boxscore,ATL,@,SDP,W,4,1,9,57//37,1,up 7.0,Soroka,Wingenter,Minter,3:15,D,0.6583221209422199,++++,,1,0,0,W,57,37,4,195,7.0,"Sunday, Jul 14 1980",0.0
94,332467200,boxscore,ATL,@,MIL,W,4,2,9,58//37,1,up 7.5,Fried,Houser,Jackson,3:02,N,0.6035740681081696,+++++,,0,0,1,W,58,37,5,182,7.5,"Monday, Jul 15 1980",0.0
95,332553600,boxscore,ATL,@,MIL,L,1,13,9,58//38,1,up 6.5,Woodruff,Wilson,,3:29,N,0.5988174875400329,-,,0,0,1,L,58,38,-1,209,6.5,"Tuesday, Jul 16 1980",0.0
96,332640000,boxscore,ATL,@,MIL,L,4,5,9,58//39,1,up 6.5,Anderson,Keuchel,Hader,3:07,D,0.6998048096420246,--,,0,0,0,L,58,39,-2,187,6.5,"Wednesday, Jul 17 1980",0.0
97,332726400,boxscore,ATL,,WSN,L,4,13,9,58//40,1,up 5.5,Strasburg,Wright,,3:44,N,0.7459493263090072,---,,0,1,1,L,58,40,-3,224,5.5,"Thursday, Jul 18 1980",0.0
98,332812800,boxscore,ATL,,WSN,W-wo,4,3,9,59//40,1,up 6.5,Jackson,Rodney,,3:30,N,0.7455892664253634,+,,1,1,1,W,59,40,1,210,6.5,"Friday, Jul 19 1980",0.0
99,332899200,boxscore,ATL,,WSN,L,3,5,9,59//41,1,up 5.5,Sanchez,Soroka,Doolittle,3:14,N,0.80477174098429,-,,1,1,1,L,59,41,-1,194,5.5,"Saturday, Jul 20 1980",0.0
100,332985600,boxscore,ATL,,WSN,W,7,1,9,60//41,1,up 6.5,Gausman,Ross,,3:02,N,0.603536167067786,+,,1,1,1,W,60,41,1,182,6.5,"Sunday, Jul 21 1980",0.0
